run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,3,0.5920296907409242,0.6066488555617782,0.3962214831403936,0.21042737242138454,0.15132412061575354,0.92,0.5905789473684211
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,gate_conf,cifar10n:aggre,0.092,2,4,0.6358413324612928,0.6559661275273073,0.3590941506218142,0.2968719769054931,0.21632749093494696,0.956,0.6380526315789473
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,0,0.456082329802019,0.461761315119444,0.36938056081201726,0.09238075430742676,0.06518352414990403,0.956,0.45831578947368423
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,1,0.21952036722494583,0.22328368775568724,0.19078228317201137,0.03250140458367587,0.04352553952330693,0.946,0.22005263157894736
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,2,0.2762579455175682,0.28681952354134765,0.20963876105988255,0.0771807624814651,0.09674096736332259,0.94,0.2737894736842105
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,3,0.5157572925922118,0.5285471816119481,0.3444502942066527,0.18409688740529545,0.13320760723017758,0.958,0.5132631578947369
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,gate_conf,cifar10n:aggre,0.089,3,4,0.565373202371166,0.5791793750509991,0.356120462706756,0.22305891234424313,0.15298115496664735,0.96,0.5647894736842105
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,0,0.5104806117272298,0.5160008984468064,0.4159193644086823,0.10008153403812409,0.06757398965464073,0.964,0.5172105263157895
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,1,0.2662801883750056,0.2744023031133411,0.20742305830935948,0.0669792448039816,0.08026599403576593,0.932,0.2692631578947368
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,2,0.2627228425684336,0.27039974124563426,0.21042397033000415,0.05997577091563011,0.07505645003651204,0.926,0.25905263157894737
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,3,0.5557813353926727,0.5730787564294422,0.35101727014659223,0.22206148628284994,0.1682108964120872,0.928,0.559
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,gate_conf,cifar10n:aggre,0.088,4,4,0.5843169514299615,0.5972561080946318,0.377752557533261,0.21950355056137083,0.15026853586506667,0.93,0.5886842105263158
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,gate_loss,cifar10n:aggre,0.086,0,0,0.7978171021849474,0.8201488766588235,0.32446696660783253,0.495681910050991,0.36567296066689015,0.986,0.797578947368421
