run_id,benchmark,method,noise_type,noise_rate,seed,bin_center,bin_acc,bin_conf,bin_count
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.5,0.5573770491803278,0.5167310310191795,305
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.5666666666666667,0.5462822458270106,0.5665941905902984,659
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.6333333333333333,0.6422487223168655,0.6329301557102236,587
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.7,0.7049924357034796,0.7009613594200896,661
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.7666666666666666,0.7703125,0.7657524690963328,640
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.8333333333333334,0.8481751824817518,0.8326377189072379,685
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.9,0.9038737446197992,0.8981465510863655,697
cifar10n_taskil__c10n_aggre__derpp__seed3,cifar10n_taskil,derpp,cifar10n:aggre,0.089,3,0.9666666666666667,0.9490861618798956,0.9676413091760392,766
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.1,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.3,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.5,0.48872180451127817,0.5165985128037015,266
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.5666666666666667,0.5794066317626527,0.5665599176396874,573
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.6333333333333333,0.6338028169014085,0.6329703465313978,568
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.7,0.714041095890411,0.7000684121700183,584
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.7666666666666666,0.8165413533834587,0.767998787155725,665
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.8333333333333334,0.8663729809104258,0.8329955187137956,681
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.9,0.9192200557103064,0.9012310122214984,718
cifar10n_taskil__c10n_aggre__derpp__seed4,cifar10n_taskil,derpp,cifar10n:aggre,0.088,4,0.9666666666666667,0.9724867724867725,0.9715383213033121,945
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.1,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.3,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.5,0.4725274725274725,0.5179626666582547,91
cifar10n_taskil__c10n_aggre__er__seed0,cifar10n_taskil,er,cifar10n:aggre,0.086,0,0.5666666666666667,0.5347593582887701,0.5681598489297265,187
