run_id,benchmark,dataset,method,family,gate_signal,label_free,backbone,noise_type,noise_rate,condition,seed,multihead,average_accuracy,class_il_acc,task_il_acc,mean_forgetting,backward_transfer,forward_transfer,buffer_purity,buffer_diversity,buffer_class_balance,class_count_variance,minority_class_coverage,n_classes_represented,gate_corr,gate_on_correct,gate_on_wrong,admission_rate,gate_separation,inversion_flag,inversion_rate,time_to_inversion,replay_loss_clean,replay_loss_noisy,ece,brier,nll,clean_mean_confidence,mislabeled_mean_confidence,clean_ece,mislabeled_ece,high_conf_mislabeled_fraction,total_time_s,peak_memory_mb,n_params
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,cifar10n_aggre_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:aggre,0.086,c10n_aggre,0,True,0.7380000000000001,,0.7380000000000001,0.07975000000000002,-0.07975000000000002,0.009500000000000022,0.944,0.9576452785616965,0.17777777777777778,472.0,1.0,10,0.07922651958168296,0.5635351177882117,0.39548421109396015,0.5505789473684211,0.1680509066942516,False,0.0,,0.2618453966338033,0.07338086970262989,0.17322032021284106,0.4229084969667384,0.9210943999377325,0.9159066081047058,0.8685385584831238,0.1426969049438354,0.2941413112966026,0.06999412800939518,215.30573415756226,1025.96864,11173962
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,cifar10n_aggre_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:aggre,0.09,c10n_aggre,1,True,0.776,,0.776,0.05350000000000005,-0.05250000000000005,-0.05500000000000001,0.95,0.9658722731145272,0.2625,376.2,1.0,10,0.10966103089104881,0.6145234673194001,0.3672775842125217,0.6016315789473684,0.2472458831068784,False,0.0,,0.02775463804387749,0.026487853095684386,0.12832858848571776,0.3410201298366797,0.638406922513105,0.910419762134552,0.8645766377449036,0.07892163556875414,0.27861925808901195,0.07271851673489044,215.54192733764648,1028.59008,11173962
cifar10n_taskil__c10n_aggre__gate_conf__seed2,cifar10n_taskil,cifar10n_aggre_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:aggre,0.092,c10n_aggre,2,True,0.788,,0.788,0.05349999999999999,-0.05049999999999999,-0.0325,0.956,0.9642587521300422,0.25316455696202533,377.4,1.0,10,0.12329528779632692,0.6559661275273073,0.3590941506218142,0.6380526315789473,0.2968719769054931,False,0.0,,0.007990070019659823,0.01496174395461222,0.12241242462396622,0.32982881235063033,0.6383073861012876,0.9174796342849731,0.8665636777877808,0.08389008555256681,0.2761137693490973,0.0707094357293374,215.65548253059387,1027.148288,11173962
cifar10n_taskil__c10n_aggre__gate_conf__seed3,cifar10n_taskil,cifar10n_aggre_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:aggre,0.089,c10n_aggre,3,True,0.7454000000000001,,0.7454000000000001,0.0675,-0.0675,0.0037500000000000033,0.96,0.9680229816109669,0.23333333333333334,368.2,1.0,10,0.09832775864667169,0.5791793750509991,0.356120462706756,0.5647894736842105,0.22305891234424313,False,0.0,,0.016207866027205912,0.13175593528765148,0.1680539399266243,0.4079980222431129,0.8480929687250173,0.919454038143158,0.8883770108222961,0.11987932078045085,0.3486794759510595,0.0772675086107922,215.88658165931702,1022.228992,11173962
cifar10n_taskil__c10n_aggre__gate_conf__seed4,cifar10n_taskil,cifar10n_aggre_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:aggre,0.088,c10n_aggre,4,True,0.7654,,0.7654,0.048250000000000015,-0.020500000000000018,-0.030250000000000013,0.93,0.9553419777408346,0.23376623376623376,464.4,1.0,10,0.10827517320081452,0.5972561080946318,0.377752557533261,0.5886842105263158,0.21950355056137083,False,0.0,,0.012998191267499497,0.06333389619363743,0.1316539465546608,0.35560525321233116,0.6337775077719024,0.9075796604156494,0.8576010465621948,0.08946415553234327,0.3502706342184817,0.06847308678139875,215.49028539657593,1023.546368,11173962
cifar10n_taskil__c10n_aggre__gate_loss__seed0,cifar10n_taskil,cifar10n_aggre_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:aggre,0.086,c10n_aggre,0,True,0.8058,,0.8058,0.02100000000000002,-0.016250000000000014,-0.032,0.958,0.9930576392718337,0.5454545454545454,80.0,1.0,10,0.40210294716871753,0.8817640204989318,0.4198541367024651,0.8513157894736842,0.4619098837964667,False,0.0,,0.025472600521282418,0.08230864136054974,0.11604867607355118,0.30736730533196904,0.6497727403430422,0.9346079230308533,0.8881285786628723,0.08292541392387884,0.28227493687373834,0.07109820372163063,216.4159336090088,1022.36672,11173962
cifar10n_taskil__c10n_aggre__gate_loss__seed1,cifar10n_taskil,cifar10n_aggre_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:aggre,0.09,c10n_aggre,1,True,0.7888,,0.7888,0.03175,-0.0295,-0.029000000000000012,0.944,0.9966108059416957,0.6885245901639344,39.2,1.0,10,0.3840846314257278,0.8767215944504795,0.4669663693677603,0.8537368421052631,0.40975522508271917,False,0.0,,0.03416274775888066,0.01875779882111926,0.13183342003822326,0.3357056256297792,0.6641845372589821,0.9254902601242065,0.8809988498687744,0.09343696915718387,0.2742766712823611,0.07293300470535515,215.97000861167908,1021.650944,11173962
cifar10n_taskil__c10n_aggre__gate_loss__seed2,cifar10n_taskil,cifar10n_aggre_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:aggre,0.092,c10n_aggre,2,True,0.766,,0.766,0.08700000000000002,-0.08700000000000002,-0.023750000000000007,0.958,0.991478680450409,0.5230769230769231,97.0,1.0,10,0.4118503591338965,0.8822018330458017,0.4348059763596464,0.8537894736842105,0.4473958566861553,False,0.0,,0.039420445378209046,0.012956002958763488,0.15352988184690472,0.3750014108662342,0.7950731052182861,0.9250182509422302,0.8903322219848633,0.10821870326354827,0.28886296488584123,0.07840731652910997,216.01606011390686,1021.187072,11173962
cifar10n_taskil__c10n_aggre__gate_loss__seed3,cifar10n_taskil,cifar10n_aggre_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:aggre,0.089,c10n_aggre,3,True,0.8024000000000001,,0.8024000000000001,0.037000000000000005,-0.0325,0.004250000000000004,0.95,0.9939973052363843,0.578125,68.0,1.0,10,0.4037990787169402,0.8627258552416569,0.44160883227357683,0.8344736842105264,0.42111702296808007,False,0.0,,0.009532555114500069,0.02332712952718566,0.12273595832586288,0.3179713021555104,0.6643367155686426,0.9312804341316223,0.8894867897033691,0.08649893454243741,0.2789008060790641,0.07472647702407002,215.83669781684875,1024.232448,11173962
cifar10n_taskil__c10n_aggre__gate_loss__seed4,cifar10n_taskil,cifar10n_aggre_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:aggre,0.088,c10n_aggre,4,True,0.7738,,0.7738,0.07100000000000004,-0.06925000000000003,-0.06475,0.92,0.9917727963726467,0.4603174603174603,89.2,1.0,10,0.3705868035921457,0.8720816280997694,0.42451698996396425,0.8459473684210527,0.44756463813580516,False,0.0,,0.02099388643101395,0.04475624506777649,0.14650663868188857,0.3577394973354047,0.745616657349919,0.9259254932403564,0.8830476999282837,0.09854946484292239,0.35453182544189554,0.072447614801605,215.75441884994507,1022.610944,11173962
